"ApkName","FieldName","OriginalText","TranslatedText",
"Launcher2.apk","application_name","Launcher","启动器",
"Launcher2.apk","home","Home","主屏幕",
"Launcher2.apk","uid_name","Android Core Apps","Android 核心应用",
"Launcher2.apk","chooser_wallpaper","Choose wallpaper from","选择壁纸来源",
"Launcher2.apk","wallpaper_instructions","Set wallpaper","设置壁纸",
"Launcher2.apk","pick_wallpaper","Wallpapers","壁纸",
"Launcher2.apk","activity_not_found",""App isn't installed."","未安装该应用。",
"Launcher2.apk","widgets_tab_label","Widgets","窗口小部件",
"Launcher2.apk","long_press_widget_to_add","Touch & hold to pick up a widget.","触摸并按住可选取窗口小部件。",
"Launcher2.apk","market","Shop","购买",
"Launcher2.apk","external_drop_widget_error",""Couldn't drop item on this Home screen."","无法将项拖放到此主屏幕上。",
"Launcher2.apk","external_drop_widget_pick_title","Choose widget to create","选择要处理拖放操作的窗口小部件",
"Launcher2.apk","rename_folder_label","Folder name","文件夹名称",
"Launcher2.apk","rename_folder_title","Rename folder","重命名文件夹",
"Launcher2.apk","rename_action","OK","确定",
"Launcher2.apk","cancel_action","Cancel","取消",
"Launcher2.apk","menu_item_add_item","Add to Home screen","添加到主屏幕",
"Launcher2.apk","group_applications","Apps","应用",
"Launcher2.apk","group_shortcuts","Shortcuts","快捷方式",
"Launcher2.apk","group_widgets","Widgets","窗口小部件",
"Launcher2.apk","group_wallpapers","Wallpapers","壁纸",
"Launcher2.apk","completely_out_of_space","No more room on your Home screens.","您的主屏幕上没有空间了。",
"Launcher2.apk","out_of_space","No more room on this Home screen.","此主屏幕上已没有空间。",
"Launcher2.apk","hotseat_out_of_space","No more room on the hotseat.","底部区域已无空间。",
"Launcher2.apk","invalid_hotseat_item","This widget is too large for the hotseat.","该窗口小部件太大，超出基座区域可用空间。",
"Launcher2.apk","shortcut_installed","Shortcut \"%s\" created.","已创建“%s”快捷方式。",
"Launcher2.apk","shortcut_uninstalled","Shortcut \"%s\" was removed.","已删除“%s”快捷方式。",
"Launcher2.apk","shortcut_duplicate","Shortcut \"%s\" already exists.","“%s”快捷方式已存在。",
"Launcher2.apk","title_select_shortcut","Choose shortcut","选择快捷方式",
"Launcher2.apk","title_select_application","Choose app","选择应用",
"Launcher2.apk","all_apps_button_label","Apps","应用",
"Launcher2.apk","all_apps_home_button_label","Home","主屏幕",
"Launcher2.apk","delete_zone_label_workspace","Remove","删除",
"Launcher2.apk","delete_zone_label_all_apps","Uninstall","卸载",
"Launcher2.apk","delete_target_label","Remove","删除",
"Launcher2.apk","delete_target_uninstall_label","Uninstall","卸载",
"Launcher2.apk","info_target_label","App info","应用信息",
"Launcher2.apk","accessibility_search_button","Search","搜索",
"Launcher2.apk","accessibility_voice_search_button","Voice Search","语音搜索",
